nameLabel	nameLang	count	count_male	count_female	count_other	count_undefined	prevalent_gender	confidence	nameLabel_count	dummy	normalization_factor
John	mul	136653	135744	60	7	844	male	0.9985	1	x	3.2851
William	mul	85704	85126	30	3	546	male	0.99881	1	x	3.2851
Paul	mul	83096	82506	42	6	544	male	0.99826	1	x	3.2851
Robert	mul	69709	69507	31	1	171	male	0.99852	1	x	3.2851
Thomas	mul	64285	63705	24	3	555	male	0.99872	1	x	3.2851
James	en	60497	60015	28	5	448	male	0.99839	1	x	3.2851
David	mul	57206	56664	11	8	524	male	0.99922	1	x	3.2851
Michael	mul	50782	50707	31	5	42	male	0.9979	1	x	3.2851
Peter	mul	47662	47264	21	0	379	male	0.99854	1	x	3.2851
Richard	mul	46323	45480	17	4	823	male	0.99869	1	x	3.2851
Christian	mul	46106	44318	1508	4	278	male	0.89938	1	x	3.2851
George	mul	45173	44888	55	3	229	male	0.99592	1	x	3.2851
Joseph	mul	37594	37308	23	0	264	male	0.99798	1	x	3.2851
Johann	mul	35978	35945	17	0	17	male	0.99845	1	x	3.2851
Louis	mul	35518	33454	44	0	2024	male	0.9957	1	x	3.2851
Anna	mul	33633	97	33389	5	144	female	0.99907	1	x	3.2851
Henry	mul	33544	33399	25	2	118	male	0.99749	1	x	3.2851
Daniel	mul	32248	31997	19	7	227	male	0.99784	1	x	3.2851
Jan	mul	31252	30772	417	1	65	male	0.95735	1	x	3.2851
Maria	mul	30345	1903	28379	5	60	female	0.97994	1	x	3.2851
Elizabeth	mul	30267	66	27579	1	2622	female	0.99926	1	x	3.2851
Edward	mul	29581	29405	12	1	164	male	0.99863	1	x	3.2851
Hans	mul	26451	26431	11	1	8	male	0.9986	1	x	3.2851
Josef	mul	26368	25936	2	0	430	male	0.99975	1	x	3.2851
Karl	mul	26313	26223	8	0	83	male	0.999	1	x	3.2851
Alexander	mul	26272	26078	19	3	172	male	0.9975	1	x	3.2851
Martin	mul	25582	25157	27	0	399	male	0.99649	1	x	3.2851
Marc	mul	25131	21012	18	3	4098	male	0.99705	1	x	3.2851
Eric	mul	24416	18956	4	6	5450	male	0.99899	1	x	3.2851
Hermann	mul	23296	23172	2	0	124	male	0.99972	1	x	3.2851
Max	mul	22338	20670	36	2	1630	male	0.99422	1	x	3.2851
François	mul	21740	21656	20	0	64	male	0.99698	1	x	3.2851
Walter	mul	20531	20420	8	1	103	male	0.99867	1	x	3.2851
Andrew	en	19629	19508	4	2	116	male	0.99922	1	x	3.2851
Michel	mul	19596	18020	38	0	1538	male	0.99312	1	x	3.2851
Arthur	mul	19206	19120	6	1	79	male	0.99892	1	x	3.2851
Antonio	mul	18994	18960	4	0	30	male	0.99931	1	x	3.2851
Pierre	mul	18810	18759	5	0	46	male	0.99913	1	x	3.2851
Carl	mul	18791	18698	5	1	87	male	0.99907	1	x	3.2851
Friedrich	de	18435	18419	10	0	6	male	0.99822	1	x	3.2851
Mike	mul	18326	17378	12	0	936	male	0.99774	1	x	3.2851
Sarah	mul	18020	43	17537	6	434	female	0.99915	1	x	3.2851
Victor	mul	17874	17826	8	0	40	male	0.99853	1	x	3.2851
Margaret	en	17758	45	17679	1	34	female	0.99921	1	x	3.2851
Frank	mul	17742	17546	14	1	181	male	0.99733	1	x	3.2851
Albert	mul	17736	17654	7	0	75	male	0.9987	1	x	3.2851
Samuel	mul	17673	17380	6	2	285	male	0.99875	1	x	3.2851
Tony	mul	17380	15606	166	3	1608	male	0.96606	1	x	3.2851
Mark	mul	16814	16610	6	1	197	male	0.99875	1	x	3.2851
Franz	mul	16577	16499	5	0	73	male	0.99901	1	x	3.2851
Wilhelm	de	16539	16491	2	0	47	male	0.9996	1	x	3.2851
Bruno	mul	16508	14340	12	6	2152	male	0.99684	1	x	3.2851
Marta	mul	16442	35	12715	0	3698	female	0.99916	1	x	3.2851
Patrick	mul	16378	16276	9	1	92	male	0.99813	1	x	3.2851
Heinrich	mul	16275	16269	2	2	2	male	0.99947	1	x	3.2851
Georg	mul	16218	16147	4	0	67	male	0.99919	1	x	3.2851
Johannes	mul	16164	14725	9	1	1429	male	0.99793	1	x	3.2851
Juan	mul	16101	16070	19	0	12	male	0.99613	1	x	3.2851
Alfred	mul	16014	15468	8	0	538	male	0.9983	1	x	3.2851
Christopher	mul	15941	15830	11	2	98	male	0.9976	1	x	3.2851
Bill	mul	15530	14988	8	4	530	male	0.99798	1	x	3.2851
Jim	mul	15438	14632	4	4	802	male	0.99883	1	x	3.2851
Fernando	mul	14978	11950	4	0	3024	male	0.9989	1	x	3.2851
Francis	mul	14816	13802	141	0	875	male	0.96753	1	x	3.2851
Carlos	mul	14405	14153	6	2	245	male	0.99847	1	x	3.2851
Joe	mul	14298	13526	24	6	744	male	0.99377	1	x	3.2851
Miguel	mul	14026	11446	2	0	2578	male	0.99943	1	x	3.2851
Claude	mul	13908	12310	712	4	882	male	0.8401	1	x	3.2851
Bob	mul	13808	13396	12	2	398	male	0.99692	1	x	3.2851
Milan	mul	13734	12465	42	0	1227	male	0.98905	1	x	3.2851
Fritz	mul	13628	13298	0	2	328	male	0.99985	1	x	3.2851
Felix	mul	13590	11073	15	3	2499	male	0.9953	1	x	3.2851
Stephen	mul	13404	10082	9	1	3312	male	0.99698	1	x	3.2851
Marie	mul	13270	1688	11098	2	485	female	0.9557	1	x	3.2851
Александр	ru	13167	13144	3	0	22	male	0.99925	1	x	3.2851
Laura	mul	12991	16	11671	2	1303	female	0.99953	1	x	3.2851
Francisco	mul	12882	11175	2	0	1706	male	0.99941	1	x	3.2851
Rudolf	mul	12854	12517	6	1	330	male	0.99835	1	x	3.2851
Adam	mul	12833	10957	10	4	1862	male	0.99665	1	x	3.2851
Otto	mul	12772	12600	5	0	168	male	0.9987	1	x	3.2851
Catherine	mul	12653	33	12547	2	71	female	0.99915	1	x	3.2851
František	mul	12345	11962	2	0	382	male	0.99945	1	x	3.2851
Ernst	mul	12334	12083	3	0	248	male	0.99919	1	x	3.2851
Manuel	mul	12238	10845	5	4	1384	male	0.99812	1	x	3.2851
Barbara	mul	12236	18	10912	0	1308	female	0.9995	1	x	3.2851
Tim	mul	11926	9886	14	2	2024	male	0.99517	1	x	3.2851
Benjamin	mul	11924	11650	2	1	270	male	0.99935	1	x	3.2851
Andreas	mul	11808	11795	9	0	4	male	0.9975	1	x	3.2851
Simon	mul	11652	9450	2	2	2198	male	0.99909	1	x	3.2851
Anthony	mul	11643	10006	5	0	1632	male	0.99836	1	x	3.2851
Fred	mul	11532	10632	14	0	886	male	0.99569	1	x	3.2851
Matthew	en	11340	6772	3	2	4563	male	0.99825	1	x	3.2851
Jacques	mul	11236	10771	11	1	454	male	0.99656	1	x	3.2851
Frederick	mul	11158	10679	8	1	471	male	0.99745	1	x	3.2851
Sandra	mul	11128	10	8284	0	2834	female	0.99963	1	x	3.2851
Jane	mul	11006	63	10913	2	28	female	0.99819	1	x	3.2851
Luis	mul	10976	8948	6	2	2021	male	0.99758	1	x	3.2851
Karel	mul	10788	10395	4	0	389	male	0.99874	1	x	3.2851
Giovanni	it	10740	10701	2	0	38	male	0.99939	1	x	3.2851
Владимир	mul	10580	10572	1	0	7	male	0.99969	1	x	3.2851
Tom	mul	10553	9461	12	2	1078	male	0.99564	1	x	3.2851
Ben	mul	10446	8862	18	2	1566	male	0.99315	1	x	3.2851
Eva	mul	10433	27	10171	1	237	female	0.99916	1	x	3.2851
Jonathan	mul	10423	7984	9	1	2429	male	0.99619	1	x	3.2851
Anton	mul	10410	9757	2	3	648	male	0.99902	1	x	3.2851
Brian	mul	10405	7992	4	0	2409	male	0.99836	1	x	3.2851
Francesco	mul	10275	10240	0	0	35	male	1.0	1	x	3.2851
Giuseppe	mul	10166	10100	2	1	63	male	0.99925	1	x	3.2851
Ana	mul	10101	16	6292	2	3792	female	0.99913	1	x	3.2851
Philip	mul	10101	8626	3	1	1471	male	0.99874	1	x	3.2851
Harry	mul	10035	9343	8	1	683	male	0.99709	1	x	3.2851
Stefan	mul	9997	9987	3	0	7	male	0.99901	1	x	3.2851
Diego	mul	9862	7940	2	2	1918	male	0.99892	1	x	3.2851
Николай	mul	9745	9743	0	0	2	male	1.0	1	x	3.2851
Pedro	mul	9727	9704	2	0	21	male	0.99932	1	x	3.2851
Kevin	en	9700	7456	5	3	2237	male	0.9974	1	x	3.2851
André	mul	9672	8638	10	1	1023	male	0.9961	1	x	3.2851
Alice	mul	9659	31	8861	1	766	female	0.9989	1	x	3.2851
Johan	mul	9633	8964	19	0	650	male	0.99309	1	x	3.2851
Bernard	mul	9611	9562	2	0	47	male	0.99931	1	x	3.2851
Herbert	mul	9610	9584	5	0	23	male	0.99829	1	x	3.2851
Jack	mul	9469	8512	9	5	943	male	0.99596	1	x	3.2851
Dan	mul	9400	8566	14	2	818	male	0.99443	1	x	3.2851
Roger	mul	9370	8400	5	0	966	male	0.99805	1	x	3.2851
Jiří	cs	9367	8815	1	0	551	male	0.99963	1	x	3.2851
Chris	mul	9327	7632	216	2	1478	male	0.91472	1	x	3.2851
Alan	mul	9210	8011	13	0	1186	male	0.9947	1	x	3.2851
Wolfgang	mul	9174	9168	1	0	5	male	0.99964	1	x	3.2851
