nameLabel	nameLang	count
John	mul	136037
William	mul	85210
Paul	mul	82550
Robert	mul	69379
Thomas	mul	64066
James	en	60071
David	mul	56616
Charles	fr	51873
Charles	mul	51873
Michael	mul	50548
Peter	mul	47422
Richard	mul	46078
Christian	mul	45796
George	mul	44901
Jean	mul	43067
Jean	fr	39602
Joseph	mul	37200
Johann	mul	35869
Louis	mul	34994
Henry	mul	33321
Anna	mul	33115
Daniel	mul	31979
Jan	mul	30044
Elizabeth	mul	30015
Maria	mul	29888
Edward	mul	29393
Mary	mul	26669
Hans	mul	26347
Karl	mul	26177
Alexander	mul	26083
Josef	mul	25862
Martin	mul	25083
Marc	mul	25005
Eric	mul	24356
Hermann	mul	23210
François	mul	21458
Walter	mul	20426
Andrew	en	19534
Michel	mul	19358
Arthur	mul	19063
Antonio	mul	18875
Pierre	mul	18652
Carl	mul	18609
Anne	mul	18474
Mike	mul	18310
Friedrich	de	18304
Victor	mul	17752
Sarah	mul	17660
Margaret	en	17656
Frank	mul	17620
Samuel	mul	17553
Albert	mul	17511
Tony	mul	17335
Mark	mul	16733
Franz	mul	16491
Bruno	mul	16420
Wilhelm	de	16387
Patrick	mul	16331
Marta	mul	16235
Heinrich	mul	16204
Georg	mul	16130
Juan	mul	16101
Johannes	mul	16055
Alfred	mul	15900
Christopher	mul	15853
Bill	mul	15512
Jim	mul	15410
José	mul	15110
Fernando	mul	14914
Francis	mul	14739
Carlos	mul	14376
Joe	mul	14284
Miguel	mul	13980
Claude	mul	13808
Bob	mul	13794
Fritz	mul	13584
Felix	mul	13524
Stephen	mul	13345
Milan	mul	13251
Александр	ru	13145
Francisco	mul	12860
Laura	mul	12780
Marie	mul	12707
Rudolf	mul	12706
Adam	mul	12695
Otto	mul	12660
Catherine	mul	12552
Ernst	mul	12263
Manuel	mul	12200
František	mul	12093
Barbara	mul	12090
Tim	mul	11868
Benjamin	mul	11822
Andreas	mul	11728
Simon	mul	11576
Anthony	mul	11562
Fred	mul	11490
Matthew	en	11300
Alain	mul	11242
Jacques	mul	11142
Max	mul	11114
Frederick	mul	11074
Sandra	mul	11008
Luis	mul	10948
Jane	mul	10894
Giovanni	it	10667
Владимир	mul	10640
Tom	mul	10528
Karel	mul	10524
Brian	mul	10385
Jonathan	mul	10380
Ben	mul	10378
Anton	mul	10317
Francesco	mul	10221
Giuseppe	mul	10085
Ana	mul	10084
Eva	mul	10045
Philip	mul	10032
Harry	mul	9967
Stefan	mul	9926
Diego	mul	9816
Николай	mul	9733
Pedro	mul	9712
Kevin	en	9677
Herbert	mul	9559
André	mul	9552
Bernard	mul	9528
Alice	mul	9527
Johan	mul	9474
Jack	mul	9423
Roger	mul	9331
Chris	mul	9320
Dan	mul	9306
Alan	mul	9146
Wolfgang	mul	9143
Jean-Baptiste	fr	8934
Jean-Baptiste	mul	8934
Jiří	cs	8856
Henri	mul	8757
Mario	mul	8706
Charlotte	mul	8693
Caroline	mul	8675
Иван	mul	8654
Olivier	mul	8652
Dave	mul	8566
Emma	mul	8544
Marco	mul	8462
Susan	mul	8408
J.	mul	8278
Jeff	mul	8226
Charlie	en	8205
